rn	trim_cut_S84_R1_bismark_bt2_pe.bismark.cov.gz	trim_cut_S92_R1_bismark_bt2_pe.bismark.cov.gz
cg01940273_49_49	1108	927
cg01940273_5_5	1076	900
cg01940273_50_50	1107	927
cg01940273_52_52	1	
cg01940273_53_53	1108	928
cg01940273_55_55	1108	928
cg01940273_56_56	1	
cg01940273_57_57	1	
cg01940273_59_59	1	
cg01940273_61_61	1	
cg01940273_62_62	1109	928
cg01940273_64_64	1	
cg01940273_68_68	1	
cg01940273_70_70	1	
cg01940273_71_71	1108	928
cg01940273_72_72	1109	927
cg01940273_73_73	1	
cg01940273_74_74	1109	928
cg01940273_78_78	1	
cg01940273_80_80	1109	925
cg01940273_81_81	1	
cg01940273_82_82	1109	910
cg01940273_83_83	1	
cg01940273_84_84	1106	928
cg01940273_85_85	1109	928
cg01940273_86_86	1109	928
cg01940273_87_87	1109	928
cg01940273_89_89	1	
cg01940273_91_91	1109	928
cg01940273_92_92	1109	927
cg01940273_93_93	1	
cg01940273_94_94	1107	925
cg01940273_96_96	1095	918
cg01940273_97_97	1109	927
cg01940273_99_99	1109	928
cg03636183_100_100	80	620
cg03636183_109_109	80	620
cg03636183_11_11	77	600
cg03636183_113_113	80	620
cg03636183_115_115	80	619
cg03636183_116_116	80	620
cg03636183_119_119	80	620
cg03636183_120_120	80	620
cg03636183_128_128	80	620
cg03636183_130_130	80	620
cg03636183_131_131	80	620
cg03636183_132_132	80	619
cg03636183_135_135	80	620
cg03636183_136_136	80	620
cg03636183_137_137	80	620
cg03636183_14_14	77	601
cg03636183_143_143	80	620
cg03636183_148_148	80	620
cg03636183_149_149	80	620
cg03636183_150_150	80	620
cg03636183_156_156	80	620
cg03636183_160_160	80	620
cg03636183_161_161	80	620
cg03636183_167_167	80	617
cg03636183_169_169	80	616
cg03636183_170_170	80	617
cg03636183_178_178	79	615
cg03636183_180_180	78	613
cg03636183_184_184	78	611
cg03636183_190_190	77	610
cg03636183_192_192	77	607
cg03636183_196_196	77	607
cg03636183_26_26	80	617
cg03636183_29_29	80	618
cg03636183_30_30	80	618
cg03636183_37_37	80	618
cg03636183_38_38	80	618
cg03636183_41_41	80	618
cg03636183_46_46	80	618
cg03636183_47_47	80	617
cg03636183_5_5	75	592
cg03636183_50_50	80	618
cg03636183_52_52	80	618
cg03636183_53_53	80	618
cg03636183_54_54	80	619
cg03636183_56_56	80	618
cg03636183_59_59	80	619
cg03636183_61_61	80	620
cg03636183_62_62	80	620
cg03636183_65_65	80	618
cg03636183_66_66	80	620
cg03636183_67_67	80	620
cg03636183_73_73	80	618
cg03636183_74_74	80	620
cg03636183_77_77	80	620
cg03636183_8_8	77	598
cg03636183_80_80	80	620
cg03636183_81_81	80	620
cg03636183_82_82	80	620
cg03636183_83_83	80	620
cg03636183_85_85	80	620
cg03636183_86_86	80	620
cg03636183_88_88	80	619
cg03636183_89_89	80	620
cg03636183_94_94	80	620
cg03636183_95_95	80	620
cg03636183_98_98	80	620
cg03636183_99_99	80	619
cg05575921_102_102	1502	1119
cg05575921_103_103	1502	1119
cg05575921_104_104	1501	1093
cg05575921_11_11	1491	1104
cg05575921_115_115	1500	1118
cg05575921_116_116	1500	1118
cg05575921_117_117	1497	1116
cg05575921_12_12	1488	1108
cg05575921_128_128	1504	1119
cg05575921_129_129	1504	1119
cg05575921_133_133	1504	1118
cg05575921_138_138	1346	1014
cg05575921_139_139	1495	1119
cg05575921_14_14	1492	1111
cg05575921_140_140	1503	1119
cg05575921_141_141	1504	1118
cg05575921_143_143	1504	1119
cg05575921_145_145	1503	1118
cg05575921_148_148	1504	1119
cg05575921_152_152	1501	1117
cg05575921_153_153	1504	1119
cg05575921_154_154	1503	1119
cg05575921_157_157	1503	1118
cg05575921_162_162	1504	1119
cg05575921_163_163	1504	1119
cg05575921_166_166	1503	1119
cg05575921_170_170	1501	1119
cg05575921_171_171	1503	1119
cg05575921_175_175	1499	1119
cg05575921_181_181	1502	1119
cg05575921_189_189	1502	1118
cg05575921_196_196	1500	1119
cg05575921_204_204	1501	1117
cg05575921_205_205	1500	1118
cg05575921_207_207	1500	1118
cg05575921_210_210	1498	1118
cg05575921_214_214	1489	1079
cg05575921_222_222	1463	1041
cg05575921_224_224	1450	1029
cg05575921_23_23	1495	1117
cg05575921_26_26	1496	1118
cg05575921_27_27	1498	1118
cg05575921_28_28	1498	1118
cg05575921_31_31	1497	1118
cg05575921_32_32	1499	1118
cg05575921_33_33	1499	1118
cg05575921_34_34	1498	1117
cg05575921_36_36	1502	1117
cg05575921_39_39	1500	1117
cg05575921_4_4	1453	1066
cg05575921_40_40	1502	1117
cg05575921_41_41	1503	1118
cg05575921_45_45	1500	1118
cg05575921_46_46	1503	1118
cg05575921_47_47	1503	1117
cg05575921_50_50	1502	1118
cg05575921_51_51	1502	1118
cg05575921_52_52	1499	1117
cg05575921_55_55	1501	1117
cg05575921_57_57	1502	1118
cg05575921_58_58	1503	1118
cg05575921_59_59	1502	1118
cg05575921_62_62	1503	1117
cg05575921_68_68	1501	1118
cg05575921_70_70	1503	1118
cg05575921_73_73	1502	1118
cg05575921_77_77	1503	1118
cg05575921_79_79	1503	1118
cg05575921_81_81	1502	1117
cg05575921_84_84	1500	1116
cg05575921_85_85	1502	1117
cg05575921_88_88	1503	1116
cg05575921_89_89	1503	1117
cg05575921_9_9	1489	1103
cg05575921_92_92	1499	1116
cg05575921_93_93	1503	1119
cg05575921_95_95	1503	1119
cg05575921_97_97	1504	1119
cg05951221_10_10	2649	1788
cg05951221_104_104	2673	1805
cg05951221_106_106	2673	1807
cg05951221_107_107	2674	1808
cg05951221_11_11	2650	1788
cg05951221_110_110	2673	1807
cg05951221_115_115	2674	1807
cg05951221_116_116	2675	1808
cg05951221_118_118	2673	1807
cg05951221_119_119	2675	1808
cg05951221_127_127	2674	1807
cg05951221_129_129	2675	1808
cg05951221_136_136	2675	1808
cg05951221_139_139	2672	1807
cg05951221_142_142	2673	1808
cg05951221_146_146	2675	1808
cg05951221_148_148	2674	1807
cg05951221_149_149	2674	1807
cg05951221_152_152	2675	1807
cg05951221_153_153	2674	1808
cg05951221_154_154	2675	1808
cg05951221_155_155	2675	1808
cg05951221_158_158	2674	1808
cg05951221_159_159	2675	1808
cg05951221_161_161	2675	1808
cg05951221_165_165	2674	1808
cg05951221_167_167	2674	1808
cg05951221_169_169	2674	1805
cg05951221_170_170	2674	1808
cg05951221_172_172	2675	1808
cg05951221_174_174	2674	1808
cg05951221_176_176	2674	1808
cg05951221_18_18	2656	1795
cg05951221_183_183	2674	1807
cg05951221_184_184	2675	1808
cg05951221_187_187	2674	1807
cg05951221_189_189	2673	1808
cg05951221_19_19	2658	1794
cg05951221_192_192	2674	1807
cg05951221_195_195	2672	1807
cg05951221_196_196	2675	1808
cg05951221_197_197	2674	1808
cg05951221_202_202	2675	1808
cg05951221_203_203	2674	1808
cg05951221_210_210	2675	1808
cg05951221_212_212	2671	1805
cg05951221_215_215	2670	1802
cg05951221_217_217	2671	1804
cg05951221_218_218	2671	1804
cg05951221_22_22	2665	1804
cg05951221_25_25	2666	1805
cg05951221_27_27	2671	1805
cg05951221_29_29	2673	1807
cg05951221_31_31	2673	1806
cg05951221_37_37	2673	1808
cg05951221_38_38	2674	1807
cg05951221_42_42	2666	1804
cg05951221_43_43	2673	1808
cg05951221_44_44	2674	1808
cg05951221_46_46	2673	1806
cg05951221_51_51	2674	1808
cg05951221_54_54	2671	1808
cg05951221_56_56	2674	1808
cg05951221_58_58	2673	1807
cg05951221_63_63	2675	1808
cg05951221_67_67	2673	1808
cg05951221_69_69	2675	1806
cg05951221_7_7	2607	1777
cg05951221_70_70	2674	1806
cg05951221_72_72	2675	1808
cg05951221_73_73	2675	1808
cg05951221_75_75	2672	1807
cg05951221_76_76	2675	1808
cg05951221_77_77	2675	1807
cg05951221_79_79	2674	1807
cg05951221_80_80	2672	1808
cg05951221_82_82	2675	1808
cg05951221_85_85	2674	1808
cg05951221_86_86	2675	1808
cg05951221_90_90	2674	1806
cg05951221_91_91	2673	1808
cg05951221_92_92	2675	1807
cg05951221_98_98	2675	1808
cg06126421_101_101	1237	490
cg06126421_111_111	1235	490
cg06126421_112_112	1237	491
cg06126421_12_12	1209	483
cg06126421_124_124	1232	489
cg06126421_125_125	1236	491
cg06126421_129_129	1237	491
cg06126421_131_131	1237	490
cg06126421_141_141	1236	490
cg06126421_144_144	1236	490
cg06126421_146_146	1236	490
cg06126421_149_149	1236	490
cg06126421_15_15	1220	486
cg06126421_150_150	1236	490
cg06126421_159_159	1236	490
cg06126421_167_167	1235	489
cg06126421_176_176	1235	490
cg06126421_181_181	1233	490
cg06126421_29_29	1234	491
cg06126421_3_3	955	412
cg06126421_36_36	1235	491
cg06126421_38_38	1236	491
cg06126421_41_41	1237	491
cg06126421_42_42	1237	491
cg06126421_45_45	1237	491
cg06126421_53_53	1236	491
cg06126421_55_55	1237	491
cg06126421_57_57	1236	491
cg06126421_66_66	1236	491
cg06126421_68_68	1237	491
cg06126421_71_71	1236	491
cg06126421_77_77	1237	491
cg06126421_87_87	1237	491
cg06126421_9_9	1206	483
cg09935388_101_101	144	212
cg09935388_102_102	144	212
cg09935388_104_104	144	212
cg09935388_105_105	144	212
cg09935388_108_108	144	212
cg09935388_110_110	143	212
cg09935388_111_111	144	212
cg09935388_112_112	144	212
cg09935388_116_116	144	212
cg09935388_118_118	144	211
cg09935388_120_120	143	211
cg09935388_124_124	141	211
cg09935388_14_14	144	212
cg09935388_19_19	144	212
cg09935388_20_20	144	212
cg09935388_21_21	144	212
cg09935388_29_29	144	212
cg09935388_33_33	144	212
cg09935388_4_4	140	201
cg09935388_43_43	143	212
cg09935388_48_48	144	212
cg09935388_50_50	144	211
cg09935388_52_52	144	212
cg09935388_53_53	144	212
cg09935388_54_54	144	212
cg09935388_58_58	144	212
cg09935388_59_59	144	212
cg09935388_64_64	144	212
cg09935388_68_68	144	212
cg09935388_69_69	144	212
cg09935388_71_71	144	212
cg09935388_76_76	144	212
cg09935388_78_78	144	212
cg09935388_79_79	144	212
cg09935388_80_80	144	212
cg09935388_84_84	143	212
cg09935388_94_94	144	212
cg09935388_95_95	144	212
cg09935388_97_97	144	212
cg09935388_98_98	144	212
cg09935388_99_99	144	212
cg12803068_102_102	49	260
cg12803068_104_104	49	261
cg12803068_106_106	49	261
cg12803068_107_107	49	261
cg12803068_116_116	49	261
cg12803068_12_12	49	259
cg12803068_121_121	49	260
cg12803068_122_122	49	261
cg12803068_123_123	49	261
cg12803068_127_127	48	260
cg12803068_133_133	47	251
cg12803068_136_136	46	250
cg12803068_22_22	49	261
cg12803068_28_28	49	261
cg12803068_3_3	46	
cg12803068_33_33	49	261
cg12803068_35_35	49	261
cg12803068_38_38	49	261
cg12803068_4_4	49	254
cg12803068_40_40	49	261
cg12803068_45_45	49	261
cg12803068_5_5	49	256
cg12803068_52_52	49	261
cg12803068_54_54	49	261
cg12803068_55_55	49	261
cg12803068_60_60	49	261
cg12803068_69_69	49	261
cg12803068_75_75	49	261
cg12803068_76_76	49	261
cg12803068_8_8	49	258
cg12803068_80_80	49	261
cg12803068_84_84	49	261
cg12803068_85_85	49	261
cg12803068_88_88	49	261
cg12803068_93_93	49	261
cg12803068_94_94	49	261
cg12803068_96_96	49	261
cg12803068_97_97	49	261
cg12803068_99_99	49	261
cg12876356_100_100	50	2104
cg12876356_105_105	50	2101
cg12876356_111_111	50	2100
cg12876356_113_113	50	2101
cg12876356_117_117	50	2104
cg12876356_120_120	50	2103
cg12876356_125_125	50	2104
cg12876356_127_127	50	2103
cg12876356_128_128	50	2103
cg12876356_129_129	49	2103
cg12876356_132_132	50	2102
cg12876356_134_134	50	2104
cg12876356_143_143	50	2104
cg12876356_145_145	50	2104
cg12876356_148_148	50	2103
cg12876356_15_15	50	2080
cg12876356_152_152	50	2103
cg12876356_154_154	50	2104
cg12876356_155_155	50	2102
cg12876356_161_161	50	2105
cg12876356_162_162	50	2105
cg12876356_166_166	49	2104
cg12876356_168_168	50	2105
cg12876356_170_170	50	2104
cg12876356_171_171	50	2103
cg12876356_172_172	50	2103
cg12876356_173_173	50	2105
cg12876356_18_18	50	2085
cg12876356_183_183	50	2104
cg12876356_188_188	50	2104
cg12876356_189_189	49	2104
cg12876356_190_190	50	2104
cg12876356_194_194	50	2101
cg12876356_195_195	50	2103
cg12876356_196_196	50	2104
cg12876356_20_20	50	2083
cg12876356_202_202	50	2105
cg12876356_203_203	50	2104
cg12876356_205_205	50	2105
cg12876356_207_207	50	2104
cg12876356_21_21	50	2083
cg12876356_211_211	49	2083
cg12876356_212_212	50	2082
cg12876356_214_214	50	2077
cg12876356_224_224	49	2032
cg12876356_229_229	46	1937
cg12876356_236_236	42	1912
cg12876356_26_26	50	2101
cg12876356_35_35	50	2102
cg12876356_37_37	50	2104
cg12876356_46_46	50	2104
cg12876356_49_49	50	2104
cg12876356_50_50	50	2101
cg12876356_54_54	50	2103
cg12876356_58_58	50	2099
cg12876356_61_61	50	2104
cg12876356_65_65	50	2103
cg12876356_68_68	50	2104
cg12876356_7_7	50	2069
cg12876356_73_73	50	2104
cg12876356_79_79	50	2103
cg12876356_80_80	50	2102
cg12876356_82_82	49	2104
cg12876356_83_83	49	2104
cg12876356_87_87	50	2103
cg12876356_9_9	50	2070
cg12876356_90_90	50	2104
cg12876356_93_93	50	2104
cg12876356_96_96	50	2102
cg13039251_100_100	1119	520
cg13039251_101_101	1120	520
cg13039251_103_103	1120	520
cg13039251_107_107	1120	520
cg13039251_108_108	1120	520
cg13039251_109_109	1118	520
cg13039251_11_11	1116	517
cg13039251_114_114	1120	519
cg13039251_117_117	1119	519
cg13039251_12_12	1116	517
cg13039251_132_132	1056	499
cg13039251_16_16	1118	520
cg13039251_21_21	1119	520
cg13039251_23_23	1120	520
cg13039251_32_32	1119	519
cg13039251_33_33	1120	520
cg13039251_38_38	1120	520
cg13039251_51_51	1119	520
cg13039251_56_56	1119	520
cg13039251_59_59	1119	520
cg13039251_67_67	1120	520
cg13039251_68_68	1120	520
cg13039251_69_69	1120	520
cg13039251_7_7	1052	505
cg13039251_71_71	1119	520
cg13039251_75_75	1120	520
cg13039251_77_77	1120	520
cg13039251_78_78	1120	520
cg13039251_80_80	1120	520
cg13039251_84_84	1120	520
cg13039251_86_86	1120	520
cg13039251_87_87	1120	520
cg13039251_92_92	1118	520
cg13039251_93_93	1120	520
cg13039251_95_95	1116	516
cg13039251_97_97	1079	507
cg13039251_99_99	1120	520
cg15693572_106_106	426	372
cg15693572_107_107	426	372
cg15693572_113_113	423	372
cg15693572_120_120	426	372
cg15693572_125_125	425	370
cg15693572_128_128	426	372
cg15693572_142_142	424	372
cg15693572_144_144	421	371
cg15693572_15_15	422	366
cg15693572_150_150	408	369
cg15693572_158_158	377	365
cg15693572_28_28	426	372
cg15693572_3_3		301
cg15693572_32_32	426	372
cg15693572_35_35	426	372
cg15693572_53_53	426	372
cg15693572_55_55	426	372
cg15693572_76_76	426	372
cg15693572_87_87	426	372
cg21566642_101_101	53	39
cg21566642_104_104	53	39
cg21566642_110_110	53	37
cg21566642_111_111	53	39
cg21566642_112_112	53	39
cg21566642_113_113	53	39
cg21566642_114_114	53	39
cg21566642_115_115	53	39
cg21566642_12_12	51	38
cg21566642_120_120	53	39
cg21566642_121_121	53	39
cg21566642_125_125	53	39
cg21566642_13_13	51	38
cg21566642_131_131	53	39
cg21566642_132_132	53	39
cg21566642_133_133	53	39
cg21566642_135_135	53	39
cg21566642_143_143	52	38
cg21566642_144_144	52	38
cg21566642_147_147	53	38
cg21566642_15_15	51	38
cg21566642_150_150	52	38
cg21566642_151_151	52	38
cg21566642_153_153	51	38
cg21566642_155_155	52	38
cg21566642_157_157	52	38
cg21566642_160_160	52	38
cg21566642_161_161	52	38
cg21566642_162_162	52	39
cg21566642_167_167	52	38
cg21566642_168_168	52	39
cg21566642_169_169	52	39
cg21566642_176_176	51	38
cg21566642_177_177	51	39
cg21566642_178_178	50	39
cg21566642_18_18	52	38
cg21566642_183_183	50	39
cg21566642_186_186	50	39
cg21566642_189_189	50	39
cg21566642_191_191	48	39
cg21566642_194_194	50	39
cg21566642_197_197	48	39
cg21566642_198_198	50	39
cg21566642_20_20	52	39
cg21566642_200_200	50	39
cg21566642_205_205	45	39
cg21566642_206_206	48	39
cg21566642_21_21	52	39
cg21566642_213_213	48	39
cg21566642_214_214	48	39
cg21566642_215_215	41	39
cg21566642_22_22	52	39
cg21566642_222_222	41	39
cg21566642_224_224	41	39
cg21566642_228_228	38	39
cg21566642_231_231	36	39
cg21566642_233_233	33	39
cg21566642_235_235	34	39
cg21566642_238_238	33	39
cg21566642_241_241	33	38
cg21566642_243_243	33	39
cg21566642_247_247	32	38
cg21566642_248_248	31	38
cg21566642_256_256	8	6
cg21566642_26_26	52	39
cg21566642_262_262	8	6
cg21566642_263_263	8	6
cg21566642_27_27	52	39
cg21566642_3_3	46	35
cg21566642_30_30	52	39
cg21566642_33_33	52	39
cg21566642_35_35	52	39
cg21566642_37_37	52	39
cg21566642_38_38	52	39
cg21566642_40_40	52	39
cg21566642_42_42	52	39
cg21566642_47_47	53	39
cg21566642_48_48	53	39
cg21566642_55_55	52	39
cg21566642_56_56	53	39
cg21566642_57_57	53	39
cg21566642_58_58	53	39
cg21566642_6_6	51	38
cg21566642_61_61	53	39
cg21566642_65_65	53	39
cg21566642_68_68	53	38
cg21566642_71_71	53	39
cg21566642_73_73	52	39
cg21566642_74_74	53	39
cg21566642_76_76	52	39
cg21566642_77_77	53	39
cg21566642_82_82	53	38
cg21566642_83_83	53	39
cg21566642_87_87	53	39
cg21566642_89_89	53	39
cg21566642_92_92	52	39
cg21566642_94_94	53	39
cg21566642_97_97	53	39
cg21566642_98_98	53	39
cg21566642_99_99	53	39
cg22132788_10_10	664	1277
cg22132788_101_101	685	1306
cg22132788_102_102	685	1306
cg22132788_103_103	685	1305
cg22132788_11_11	666	1281
cg22132788_112_112	684	1305
cg22132788_114_114	685	1305
cg22132788_117_117	685	1304
cg22132788_119_119	685	1304
cg22132788_120_120	684	1303
cg22132788_123_123	684	1306
cg22132788_126_126	685	1306
cg22132788_129_129	685	1306
cg22132788_130_130	685	1305
cg22132788_131_131	685	1306
cg22132788_133_133	685	1306
cg22132788_138_138	685	1305
cg22132788_139_139	685	1306
cg22132788_142_142	685	1306
cg22132788_144_144	684	1306
cg22132788_150_150	685	1306
cg22132788_151_151	685	1303
cg22132788_154_154	683	1304
cg22132788_156_156	685	1302
cg22132788_157_157	685	1306
cg22132788_159_159	685	1306
cg22132788_162_162	685	1305
cg22132788_164_164	685	1306
cg22132788_165_165	685	1305
cg22132788_172_172	684	1306
cg22132788_173_173	684	1303
cg22132788_174_174	684	1304
cg22132788_178_178	685	1305
cg22132788_179_179	684	1306
cg22132788_184_184	684	1306
cg22132788_187_187	685	1306
cg22132788_188_188	685	1306
cg22132788_193_193	684	1306
cg22132788_194_194	685	1305
cg22132788_195_195	685	1306
cg22132788_201_201	685	1306
cg22132788_202_202	685	1306
cg22132788_204_204	684	1304
cg22132788_207_207	685	1306
cg22132788_209_209	685	1305
cg22132788_211_211	685	1305
cg22132788_213_213	685	1306
cg22132788_216_216	675	1301
cg22132788_218_218	676	1301
cg22132788_219_219	676	1301
cg22132788_222_222	676	1300
cg22132788_224_224	676	1299
cg22132788_225_225	676	1298
cg22132788_226_226	676	1298
cg22132788_229_229	676	1295
cg22132788_23_23	678	1301
cg22132788_231_231	676	1295
cg22132788_27_27	682	1300
cg22132788_3_3	578	1141
cg22132788_32_32	682	1275
cg22132788_38_38	685	1260
cg22132788_42_42	684	1302
cg22132788_44_44	683	1302
cg22132788_49_49	685	1306
cg22132788_5_5	653	1246
cg22132788_50_50	683	1304
cg22132788_51_51	685	1302
cg22132788_52_52	685	1302
cg22132788_55_55	685	1304
cg22132788_56_56	685	1300
cg22132788_58_58	685	1297
cg22132788_63_63	685	1304
cg22132788_64_64	685	1303
cg22132788_66_66	685	1304
cg22132788_67_67	684	1306
cg22132788_68_68	685	1306
cg22132788_7_7	655	1257
cg22132788_72_72	497	933
cg22132788_73_73	660	1249
cg22132788_74_74	685	1303
cg22132788_75_75	684	1306
cg22132788_77_77	685	1305
cg22132788_78_78	685	1306
cg22132788_80_80	685	1305
cg22132788_81_81	685	1306
cg22132788_84_84	685	1305
cg22132788_85_85	685	1305
cg22132788_87_87	685	1296
cg22132788_96_96	682	1304
cg22132788_97_97	685	1306
cg22132788_99_99	685	1306
cg23576855_100_100	567	971
cg23576855_101_101	566	972
cg23576855_103_103	567	972
cg23576855_105_105	567	972
cg23576855_11_11	563	966
cg23576855_110_110	567	968
cg23576855_111_111	567	972
cg23576855_113_113	567	972
cg23576855_116_116	567	972
cg23576855_117_117	567	972
cg23576855_119_119	565	972
cg23576855_12_12	564	968
cg23576855_120_120	567	971
cg23576855_13_13	564	968
cg23576855_130_130	567	972
cg23576855_132_132	565	953
cg23576855_137_137	565	955
cg23576855_138_138	565	955
cg23576855_143_143	565	955
cg23576855_144_144	565	955
cg23576855_147_147	565	955
cg23576855_148_148	565	954
cg23576855_15_15	564	969
cg23576855_151_151	565	954
cg23576855_152_152	565	955
cg23576855_154_154	564	953
cg23576855_155_155	565	955
cg23576855_156_156	565	955
cg23576855_158_158	565	955
cg23576855_161_161	564	953
cg23576855_164_164	565	952
cg23576855_17_17	564	970
cg23576855_171_171	561	940
cg23576855_173_173	561	940
cg23576855_176_176	561	937
cg23576855_179_179	561	936
cg23576855_180_180	561	936
cg23576855_27_27	565	971
cg23576855_3_3	492	841
cg23576855_31_31	565	970
cg23576855_32_32	565	971
cg23576855_33_33	565	971
cg23576855_34_34	564	971
cg23576855_36_36	565	971
cg23576855_39_39	566	972
cg23576855_44_44	566	972
cg23576855_45_45	565	971
cg23576855_50_50	566	972
cg23576855_51_51	566	972
cg23576855_52_52	566	972
cg23576855_57_57	566	972
cg23576855_63_63	566	972
cg23576855_64_64	565	972
cg23576855_69_69	567	972
cg23576855_72_72	567	970
cg23576855_73_73	567	971
cg23576855_74_74	567	972
cg23576855_75_75	567	972
cg23576855_8_8	562	968
cg23576855_81_81	567	971
cg23576855_82_82	566	972
cg23576855_85_85	566	972
cg23576855_86_86	567	971
cg23576855_89_89	567	972
cg23576855_91_91	566	972
cg23576855_93_93	567	972
cg23576855_96_96	567	972
cg23576855_97_97	567	972
